verb,resource,delegated,appPerms
POST  ,/communications/calls/{id}/updateRecordingStatus,,
POST  ,/communications/calls/57dab8b1-894c-409a-b240-bd8beae78896/participants/2765eb15-01f8-47c6-b12b-c32111a4a86f/mute,,
POST  ,/communications/getPresencesByUserId,,
PUT   ,/groups/{id}/team,"Group.ReadWrite.All,
Group.ReadWrite.All","Group.ReadWrite.All,
Group.ReadWrite.All"
GET   ,/me/chats,"Chat.Read,
Chat.ReadWrite,
Chat.ReadBasic","Chat.Read.All,
Chat.ReadWrite.All,
Chat.ReadBasic.All"
GET   ,/me/chats/{id},"Chat.Read,
Chat.ReadWrite,
Chat.ReadBasic","Chat.Read.All,
Chat.ReadWrite.All,
Chat.ReadBasic.All"
GET   ,/me/chats/{id}/messages,"Chat.Read,
Chat.ReadWrite,
","Chat.Read.All,
Chat.ReadWrite.All,
"
GET   ,/me/chats/{id}/messages/{id},"Chat.Read,
Chat.ReadWrite,
","Chat.Read.All,
Chat.ReadWrite.All,
"
GET   ,/me/joinedTeams,"User.Read.All,
User.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All","User.Read.All,
User.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All"
GET   ,/me/presence,,
GET   ,/reports/getTeamsDeviceUsageDistributionUserCounts,,
GET   ,/reports/getTeamsDeviceUsageUserCounts,,
GET   ,/reports/getTeamsDeviceUsageUserDetail,,
GET   ,/reports/getTeamsUserActivityCounts,,
GET   ,/reports/getTeamsUserActivityUserCounts,,
GET   ,/reports/getTeamsUserActivityUserDetail,,
POST  ,/teams,"Group.ReadWrite.All,
Team.Create","Group.ReadWrite.All,
Team.Create"
GET   ,"/teams/{id}
/groups/{id}/team","Directory.Read.All,
Directory.ReadWrite.All,
Group.Read.All,
Group.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All","Directory.Read.All,
Directory.ReadWrite.All,
Group.Read.All,
Group.ReadWrite.All,
Team.ReadBasic.All,
TeamSettings.Read.All,
TeamSettings.ReadWrite.All"
PATCH ,/teams/{id},"Directory.ReadWrite.All,
Group.ReadWrite.All,
TeamSettings.ReadWrite.All","TeamSettings.Edit.Group,
Directory.ReadWrite.All,
Group.ReadWrite.All,
TeamSettings.ReadWrite.All"
POST  ,/teams/{id}/archive,"Group.ReadWrite.All,
TeamSettings.ReadWrite.All","Group.ReadWrite.All,
TeamSettings.ReadWrite.All"
GET   ,"/teams/{id}/channels
/groups/{id}/team/channels","Group.Read.All,
Group.ReadWrite.All,
Channel.ReadBasic.All,
ChannelSettings.Read.All,
ChannelSettings.ReadWrite.All","Group.Read.All,
Group.ReadWrite.All,
Channel.ReadBasic.All,
ChannelSettings.Read.All,
ChannelSettings.ReadWrite.All"
POST  ,"/teams/{id}/channels
/groups/{id}/team/channels","Group.ReadWrite.All,
Channel.Create","Group.ReadWrite.All,
Channel.Create"
GET   ,/teams/{id}/channels/{channelId}/filesFolder,"Group.Read.All,
Group.ReadWrite.All,
Files.Read.All,
Files.ReadWrite.All,
Sites.Read.All,
Sites.ReadWrite.All","Group.Read.All,
Group.ReadWrite.All,
Files.Read.All,
Files.ReadWrite.All,
Sites.Read.All,
Sites.ReadWrite.All"
GET   ,"/teams/{id}/channels/{id}
/groups/{id}/channels/{id}","Group.Read.All,
Group.ReadWrite.All,
Channel.ReadBasic.All,
ChannelSettings.Read.All,
ChannelSettings.ReadWrite.All","Group.Read.All,
Group.ReadWrite.All,
Channel.ReadBasic.All,
ChannelSettings.Read.All,
ChannelSettings.ReadWrite.All"
PATCH ,/teams/{id}/channels/{id},"Group.ReadWrite.All,
ChannelSettings.ReadWrite.All","Group.ReadWrite.All,
ChannelSettings.ReadWrite.All"
DELETE,"/teams/{id}/channels/{id}
/groups/{id}/channels/{id}","Group.ReadWrite.All,
Channel.Delete.All","Group.ReadWrite.All,
Channel.Delete.All"
GET   ,/teams/{id}/channels/{id}/members,"Group.ReadWrite.All,
ChannelMember.Read.All,
ChannelMember.ReadWrite.All","Group.ReadWrite.All,
ChannelMember.Read.All,
ChannelMember.ReadWrite.All"
POST  ,/teams/{id}/channels/{id}/members,"Group.ReadWrite.All,
ChannelMember.ReadWrite.All","Group.ReadWrite.All,
ChannelMember.ReadWrite.All"
GET   ,/teams/{id}/channels/{id}/members/{id},"Group.Read.All,
Group.ReadWrite.All,
ChannelMember.Read.All,
ChannelMember.ReadWrite.All","Group.Read.All,
Group.ReadWrite.All,
ChannelMember.Read.All,
ChannelMember.ReadWrite.All"
PATCH ,/teams/{id}/channels/{id}/members/{id},"Group.ReadWrite.All,
ChannelMember.ReadWrite.All","Group.ReadWrite.All,
ChannelMember.ReadWrite.All"
DELETE,/teams/{id}/channels/{id}/members/{id},"Group.ReadWrite.All,
Directory.ReadWrite.All,
ChannelMember.ReadWrite.All","Group.ReadWrite.All,
Directory.ReadWrite.All,
ChannelMember.ReadWrite.All"
GET   ,/teams/{id}/channels/{id}/messages,"Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All","Group.Read.All,
Group.ReadWrite.All,
ChannelMessage.Read.All"
POST  ,/teams/{id}/channels/{id}/messages,"Group.ReadWrite.All,
ChannelMessage.Send",
