Method,Path,Delegated Permissions,App Permissions,Owner,In v1.0,Has Granular Permissions,v1.0 + granular,Doc link
GET   ,/teamwork/teamTemplates/{teamTemplateId}/definitions/{teamTemplateDefinitionId}/teamDefinition,Team.Create,Team.Create,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/teamtemplatedefinition-get-teamdefinition?view=graph-rest-beta
GET   ,/teamwork/workforceIntegrations,WorkforceIntegration.Read.All  WorkforceIntegration.ReadWrite.All,Not supported,Shifts,True,True,True,https://docs.microsoft.com/graph/api/workforceintegration-list?view=graph-rest-beta
POST  ,/teamwork/workforceIntegrations,WorkforceIntegration.ReadWrite.All,Not supported,Shifts,True,True,True,https://docs.microsoft.com/graph/api/workforceintegration-post?view=graph-rest-beta
GET   ,/teamwork/workforceIntegrations/{workforceIntegrationId},WorkforceIntegration.Read.All  WorkforceIntegration.ReadWrite.All,Not supported,Shifts,True,True,True,https://docs.microsoft.com/graph/api/workforceintegration-get?view=graph-rest-beta
PATCH ,/teamwork/workforceIntegrations/{workforceIntegrationId},WorkforceIntegration.ReadWrite.All,Not supported,Shifts,True,True,True,https://docs.microsoft.com/graph/api/workforceintegration-update?view=graph-rest-beta
DELETE,/teamwork/workforceIntegrations/{workforceIntegrationId},WorkforceIntegration.ReadWrite.All,Not supported,Shifts,True,True,True,https://docs.microsoft.com/graph/api/workforceintegration-delete?view=graph-rest-beta
GET   ,/users({id})/onlineMeetings({id})/transcripts,OnlineMeetingTranscript.Read.All,OnlineMeetingTranscript.Read.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/calltranscript-get?view=graph-rest-beta
GET   ,/users({id})/onlineMeetings,OnlineMeetingTranscript.Read.All,OnlineMeetingTranscript.Read.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/onlinemeeting-list-transcripts?view=graph-rest-beta
POST  ,/users/{id}/chats/{chatsId}/messages/{chatMessageId}/softDelete,ChannelMessage.ReadWrite,Not supported,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/chatmessage-softdelete?view=graph-rest-beta
POST  ,/users/{id}/chats/{chatsId}/messages/{chatMessageId}/undoSoftDelete,ChannelMessage.ReadWrite,Not supported,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/chatmessage-undosoftdelete?view=graph-rest-beta
GET   ,/users/{id}/chats/getAllMessages?$top=50&$filter=lastModifiedDateTime gt 2020-06-04T18:03:11.591Z and lastModifiedDateTime lt 2020-06-05T21:00:09.413Z,Not supported,Chat.Read.All  Chat.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/chats-getallmessages?view=graph-rest-beta
GET   ,/users/{id}/onlineMeetings?$filter=joinMeetingIdSettings/joinMeetingId%20eq%20'{joinMeetingId}',OnlineMeetingArtifact.Read.All  OnlineMeetings.Read  OnlineMeetings.ReadWrite,OnlineMeetingArtifact.Read.All  OnlineMeetings.Read.All  OnlineMeetings.ReadWrite.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/onlinemeeting-get?view=graph-rest-beta
